,0
0,341.41161181002553
1,305.6979537234829
2,269.9842956369364
3,234.27063755040194
4,198.55697946382156
5,162.84332137730598
6,127.12966329074015
7,91.41600520422276
8,55.70234711767375
9,19.98868903111702
