,0
0,378477.8352507707
1,388156.6966071824
2,397835.5579635907
3,407514.41932000173
4,417193.28067641205
5,426872.1420328226
6,436551.00338923105
7,446229.8647456418
8,455908.7261020533
9,465587.58745846234
