,0,0,0,0,1,2,3,0.1,1.1,2.1,0.2,1.2,2.2,0.3,1.3,2.3,0.4,1.4,2.4
0,2020,2099.0531663983,2147.2792732795488,178869.03330249712,117854.2784458832,46255.22664199816,83752.96022201655,1.246681313598522,46.81399167437576,84.58748728029605,2102.054810360787,6605.994255319165,497809.5527983345,1.246681313598522,62.579259713228566,103.83017486100924,87.02111239592978,97.38574005550436,85.69145698427383
1,2021,2094.588673837225,2143.8576259082038,183989.4657724332,119784.4472710453,46770.72155411658,85620.42090656795,1.2169761794634653,47.40772664199835,87.0936816604999,2158.5708834412653,6663.927765957458,508964.3149283081,1.2169761794634653,64.43057157724343,106.51620103041203,90.2415413968547,101.03342969472668,88.83262488436594
2,2022,2090.124181276241,2140.435978536885,189109.89824236743,121714.61609620694,47286.216466235,87487.88159111934,1.1872710453284014,48.00146160962095,89.59987604070284,2215.086956521744,6721.861276595751,520119.077058278,1.1872710453284014,66.28188344125829,109.20222719981577,93.46197039777962,104.68111933394994,91.97379278445806
3,2023,2085.6596887152136,2137.014331165612,194230.33071230352,123644.78492136904,47801.711378353415,89355.34227567073,1.1575659111933447,48.59519657724354,92.10607042090668,2271.603029602222,6779.794787234059,531273.8391882516,1.1575659111933447,68.13319530527315,111.88825336921856,96.68239939870456,108.32880897317318,95.11496068455108
4,2024,2081.1951961541763,2133.592683794241,199350.76318223772,125574.9537465307,48317.20629047183,91222.80296022212,1.127860777058281,49.18893154486591,94.61226480111054,2328.1191026827,6837.728297872352,542428.6013182253,1.127860777058281,69.98450716928755,114.57427953862224,99.90282839963038,111.97649861239552,98.2561285846432
5,2025,2076.730703593136,2130.1710364230075,204471.19565217383,127505.1225716928,48832.70120259025,93090.26364477351,1.0981556429232242,49.7826665124885,97.11845918131348,2384.635175763193,6895.661808510646,553583.3634481952,1.0981556429232242,71.83581903330241,117.26030570802595,103.1232574005553,115.62418825161876,101.39729648473622
6,2026,2072.2662110321207,2126.749389051678,209591.6281221081,129435.29139685445,49348.19611470867,94957.72432932444,1.0684505087881604,50.3764014801111,99.62465356151732,2441.151248843671,6953.595319148953,564738.1255781688,1.0684505087881604,73.68713089731727,119.94633187742876,106.34368640148024,119.271877890842,104.53846438482832
7,2027,2067.801718471067,2123.3277416804704,214712.06059204412,131365.46022201655,49863.69102682697,96825.18501387585,1.0387453746531037,50.970136447733694,102.13084794172028,2497.6673219241493,7011.528829787247,575892.8877081387,1.0387453746531037,75.53844276133213,122.63235804683244,109.56411540240516,122.91956753006434,107.67963228492135
8,2028,2063.337225910028,2119.906094309056,219832.49306198023,133295.6290471782,50379.18593894539,98692.64569842722,1.00904024051804,51.56387141535629,104.63704232192411,2554.1833950046275,7069.46234042554,587047.6498381123,1.00904024051804,77.389754625347,125.31838421623524,112.78454440333007,126.5672571692876,110.82080018501348
9,2029,2058.872733349065,2116.4844469377176,224952.9255319145,135225.7978723403,50894.68085106381,100560.1063829786,0.9793351063829832,52.15760638297888,107.14323670212798,2610.6994680851058,7127.395851063848,598202.4119680859,0.9793351063829832,79.24106648936186,128.00441038563895,116.004973404255,130.21494680851083,113.96196808510558
