,0
0,2147.2792732795488
1,2143.8576259082033
2,2140.435978536885
3,2137.0143311656116
4,2133.592683794241
5,2130.1710364230075
6,2126.749389051678
7,2123.3277416804704
8,2119.9060943090562
9,2116.4844469377176
