,0
0,2099.0531663983
1,2094.5886738372255
2,2090.124181276241
3,2085.6596887152136
4,2081.1951961541763
5,2076.7307035931362
6,2072.2662110321207
7,2067.801718471067
8,2063.337225910028
9,2058.872733349065
